TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e i      ,Flgs_ e s      ,Cause_Status,Dir_   ?>,State_A_A,State_A_FA,State_A_PA,State_FA_FA,State_FPA_FA,State_FPA_FPA,State_PA_A,State_PA_PA,State_PA_SPA,State_SPA_SPA,State_S_SA,State__A,State__PA,State__SA,TcpOpt_Mws   T,TcpOpt_MwsS  T,label
1056.0,424.0,632.0,0.0,0.0,106.0,158.0,105216.0,31872.0,0.788384,1721542144.0,0.788384,0.0,0.788384,0.788384,0.788384,62.0,64.0,0.170272,0.000982,0.16929,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.0,8036.692383,3226.85376,4809.838867,0.0,0.0,8.878922,3.805252,3.805252,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
276.0,66.0,210.0,0.0,0.0,66.0,210.0,105344.0,31872.0,0.0,1721542144.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170272,0.000982,0.16929,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
276.0,66.0,210.0,0.0,0.0,66.0,210.0,105344.0,31872.0,0.0,1721542144.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170272,0.000982,0.16929,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1104.0,360.0,744.0,0.0,0.0,90.0,186.0,105344.0,31872.0,0.09376,1721542144.0,0.09376,0.0,0.09376,0.09376,0.09376,62.0,64.0,0.170272,0.000982,0.16929,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.0,70648.46875,23037.542969,47610.921875,0.0,0.0,74.658707,31.996588,31.996588,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1512.0,586.0,926.0,0.0,0.0,117.199997,132.285721,105344.0,31872.0,0.23091,1721542144.0,0.23091,0.0,0.23091,0.23091,0.23091,62.0,64.0,0.170272,0.000982,0.16929,12.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,43757.308594,16248.754883,27508.552734,0.0,0.0,47.637608,17.322765,25.98415,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2794.0,586.0,2208.0,0.0,0.0,117.199997,276.0,105344.0,31872.0,0.200654,1721542144.0,0.200654,0.0,0.200654,0.200654,0.200654,62.0,64.0,0.170272,0.000982,0.16929,13.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.0,95726.976562,18698.855469,77028.117188,0.0,0.0,59.80444,19.934813,34.885921,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
4210.0,1172.0,3038.0,0.0,0.0,117.199997,202.53334,105344.0,31872.0,0.554764,1721542144.0,0.554764,0.0,0.554764,0.554764,0.554764,62.0,64.0,0.170272,0.000982,0.16929,25.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,-0.0,56110.347656,15213.676758,40896.671875,0.0,0.0,43.261642,16.223116,25.235958,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1756.0,718.0,1038.0,0.0,0.0,102.571426,148.285721,105344.0,31872.0,0.615733,1721542144.0,0.615733,0.0,0.615733,0.615733,0.615733,62.0,64.0,0.170272,0.000982,0.16929,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,19566.921875,8003.46875,11563.453125,0.0,0.0,21.113047,9.744483,9.744483,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1118.0,374.0,744.0,0.0,0.0,124.666664,186.0,105344.0,31872.0,0.107379,1721542144.0,0.107379,0.0,0.107379,0.107379,0.107379,62.0,64.0,0.170272,0.000982,0.16929,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.0,60197.992188,18625.617188,41572.375,0.0,0.0,55.87685,18.625616,27.938425,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2388.0,426.0,1962.0,0.0,0.0,85.199997,392.399994,105344.0,31872.0,0.169625,1721542144.0,0.169625,0.0,0.169625,0.169625,0.169625,62.0,64.0,0.170272,0.000982,0.16929,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.0,90128.226562,16082.535156,74045.6875,0.0,0.0,53.058216,23.58143,23.58143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
