application,window,seed,partition,level,cluster,training_mapped_level,count
HTTP,5,84,validation,Low,2,High,0
HTTP,5,84,validation,Medium,0,Low,254
HTTP,5,84,validation,Medium,1,Medium,35
HTTP,5,84,validation,Medium,2,High,516
HTTP,5,84,validation,High,0,Low,147
HTTP,5,84,validation,High,1,Medium,124
HTTP,5,84,validation,High,2,High,507
HTTP,5,123,train,Low,0,Medium,25
HTTP,5,123,train,Low,1,High,36
HTTP,5,123,train,Low,2,Low,369
HTTP,5,123,train,Medium,0,Medium,48
HTTP,5,123,train,Medium,1,High,309
HTTP,5,123,train,Medium,2,Low,276
HTTP,5,123,train,High,0,Medium,131
HTTP,5,123,train,High,1,High,457
HTTP,5,123,train,High,2,Low,125
HTTP,5,123,validation,Low,0,Medium,0
HTTP,5,123,validation,Low,1,High,10
HTTP,5,123,validation,Low,2,Low,409
HTTP,5,123,validation,Medium,0,Medium,47
HTTP,5,123,validation,Medium,1,High,602
HTTP,5,123,validation,Medium,2,Low,156
HTTP,5,123,validation,High,0,Medium,137
HTTP,5,123,validation,High,1,High,570
HTTP,5,123,validation,High,2,Low,71
HTTP,10,0,train,Low,0,High,35
HTTP,10,0,train,Low,1,Medium,20
HTTP,10,0,train,Low,2,Low,375
HTTP,10,0,train,Medium,0,High,285
HTTP,10,0,train,Medium,1,Medium,49
HTTP,10,0,train,Medium,2,Low,299
HTTP,10,0,train,High,0,High,425
HTTP,10,0,train,High,1,Medium,122
HTTP,10,0,train,High,2,Low,166
HTTP,10,0,validation,Low,0,High,0
HTTP,10,0,validation,Low,1,Medium,0
HTTP,10,0,validation,Low,2,Low,419
HTTP,10,0,validation,Medium,0,High,622
HTTP,10,0,validation,Medium,1,Medium,25
HTTP,10,0,validation,Medium,2,Low,158
HTTP,10,0,validation,High,0,High,582
HTTP,10,0,validation,High,1,Medium,150
HTTP,10,0,validation,High,2,Low,46
HTTP,10,21,train,Low,0,Low,387
HTTP,10,21,train,Low,1,High,24
HTTP,10,21,train,Low,2,Medium,19
HTTP,10,21,train,Medium,0,Low,474
HTTP,10,21,train,Medium,1,High,137
HTTP,10,21,train,Medium,2,Medium,22
HTTP,10,21,train,High,0,Low,360
HTTP,10,21,train,High,1,High,266
HTTP,10,21,train,High,2,Medium,87
HTTP,10,21,validation,Low,0,Low,419
HTTP,10,21,validation,Low,1,High,0
HTTP,10,21,validation,Low,2,Medium,0
HTTP,10,21,validation,Medium,0,Low,480
HTTP,10,21,validation,Medium,1,High,313
HTTP,10,21,validation,Medium,2,Medium,12
HTTP,10,21,validation,High,0,Low,355
HTTP,10,21,validation,High,1,High,318
HTTP,10,21,validation,High,2,Medium,105
HTTP,10,42,train,Low,0,Medium,19
HTTP,10,42,train,Low,1,High,26
HTTP,10,42,train,Low,2,Low,385
HTTP,10,42,train,Medium,0,Medium,27
HTTP,10,42,train,Medium,1,High,186
HTTP,10,42,train,Medium,2,Low,420
HTTP,10,42,train,High,0,Medium,100
HTTP,10,42,train,High,1,High,304
HTTP,10,42,train,High,2,Low,309
HTTP,10,42,validation,Low,0,Medium,0
HTTP,10,42,validation,Low,1,High,0
HTTP,10,42,validation,Low,2,Low,419
HTTP,10,42,validation,Medium,0,Medium,12
HTTP,10,42,validation,Medium,1,High,446
HTTP,10,42,validation,Medium,2,Low,347
HTTP,10,42,validation,High,0,Medium,126
HTTP,10,42,validation,High,1,High,428
HTTP,10,42,validation,High,2,Low,224
HTTP,10,84,train,Low,0,Medium,24
HTTP,10,84,train,Low,1,High,35
HTTP,10,84,train,Low,2,Low,371
HTTP,10,84,train,Medium,0,Medium,51
HTTP,10,84,train,Medium,1,High,296
HTTP,10,84,train,Medium,2,Low,286
HTTP,10,84,train,High,0,Medium,142
HTTP,10,84,train,High,1,High,420
HTTP,10,84,train,High,2,Low,151
HTTP,10,84,validation,Low,0,Medium,0
HTTP,10,84,validation,Low,1,High,2
HTTP,10,84,validation,Low,2,Low,417
HTTP,10,84,validation,Medium,0,Medium,31
HTTP,10,84,validation,Medium,1,High,644
HTTP,10,84,validation,Medium,2,Low,130
HTTP,10,84,validation,High,0,Medium,159
HTTP,10,84,validation,High,1,High,583
HTTP,10,84,validation,High,2,Low,36
HTTP,10,123,train,Low,0,Low,378
HTTP,10,123,train,Low,1,High,32
HTTP,10,123,train,Low,2,Medium,20
HTTP,10,123,train,Medium,0,Low,309
HTTP,10,123,train,Medium,1,High,273
HTTP,10,123,train,Medium,2,Medium,51
HTTP,10,123,train,High,0,Low,181
HTTP,10,123,train,High,1,High,399
HTTP,10,123,train,High,2,Medium,133
HTTP,10,123,validation,Low,0,Low,419
HTTP,10,123,validation,Low,1,High,0
HTTP,10,123,validation,Low,2,Medium,0
HTTP,10,123,validation,Medium,0,Low,166
HTTP,10,123,validation,Medium,1,High,613
HTTP,10,123,validation,Medium,2,Medium,26
HTTP,10,123,validation,High,0,Low,55
HTTP,10,123,validation,High,1,High,566
HTTP,10,123,validation,High,2,Medium,157
HTTP,20,0,train,Low,0,Medium,19
HTTP,20,0,train,Low,1,Low,377
HTTP,20,0,train,Low,2,High,34
HTTP,20,0,train,Medium,0,Medium,48
HTTP,20,0,train,Medium,1,Low,302
HTTP,20,0,train,Medium,2,High,283
HTTP,20,0,train,High,0,Medium,129
HTTP,20,0,train,High,1,Low,181
HTTP,20,0,train,High,2,High,403
HTTP,20,0,validation,Low,0,Medium,0
HTTP,20,0,validation,Low,1,Low,419
HTTP,20,0,validation,Low,2,High,0
HTTP,20,0,validation,Medium,0,Medium,22
HTTP,20,0,validation,Medium,1,Low,119
HTTP,20,0,validation,Medium,2,High,664
HTTP,20,0,validation,High,0,Medium,190
HTTP,20,0,validation,High,1,Low,17
HTTP,20,0,validation,High,2,High,571
HTTP,20,21,train,Low,0,Low,391
HTTP,20,21,train,Low,1,High,23
HTTP,20,21,train,Low,2,Medium,16
HTTP,20,21,train,Medium,0,Low,467
HTTP,20,21,train,Medium,1,High,153
HTTP,20,21,train,Medium,2,Medium,13
HTTP,20,21,train,High,0,Low,361
HTTP,20,21,train,High,1,High,291
HTTP,20,21,train,High,2,Medium,61
HTTP,20,21,validation,Low,0,Low,419
HTTP,20,21,validation,Low,1,High,0
HTTP,20,21,validation,Low,2,Medium,0
HTTP,20,21,validation,Medium,0,Low,528
