TcpRtt,SynAck,AckDat,100,010,001,110,101,011,111,label
0.061498,0.000447,0.061051,0,0,0,0,0,0,0,0
0.061498,0.000447,0.061051,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061498,0.000447,0.061051,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061545,0.000505,0.06104,0,0,0,0,0,0,0,0
0.061545,0.000505,0.06104,0,0,0,0,0,0,0,0
0.061536,0.000983,0.060553,0,0,0,0,0,0,0,0
0.061536,0.000983,0.060553,0,0,0,0,0,0,0,0
0.061498,0.000447,0.061051,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061498,0.000447,0.061051,0,0,0,0,0,0,0,0
0.000995,0.000995,0.0,0,0,0,0,0,0,0,0
0.000494,0.000494,0.0,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061545,0.000505,0.06104,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.061498,0.000952,0.060546,0,0,0,0,0,0,0,0
0.000483,0.000483,0.0,0,0,0,0,0,0,0,0
0.000483,0.000483,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.061536,0.000983,0.060553,0,0,0,0,0,0,0,0
0.061536,0.000983,0.060553,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.057748,0.000494,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.057748,0.000494,0.057254,0,0,0,0,0,0,0,0
0.057748,0.000494,0.057254,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.000483,0.000483,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.057748,0.000494,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.057748,0.000494,0.057254,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.057748,0.000494,0.057254,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.058249,0.000995,0.057254,0,0,0,0,0,0,0,0
0.059202,0.000483,0.058719,0,0,0,0,0,0,0,0
0.000488,0.000488,0.0,0,0,0,0,0,0,0,0
0.000488,0.000488,0.0,0,0,0,0,0,0,0,0
0.000488,0.000488,0.0,0,0,0,0,0,0,0,0
0.000533,0.000533,0.0,0,0,0,0,0,0,0,0
0.060422,0.000488,0.059934,0,0,0,0,0,0,0,0
0.06089,0.000488,0.060402,0,0,0,0,0,0,0,0
0.06089,0.000488,0.060402,0,0,0,0,0,0,0,0
0.000495,0.000495,0.0,0,0,0,0,0,0,0,0
0.000495,0.000495,0.0,0,0,0,0,0,0,0,0
0.06089,0.000488,0.060402,0,0,0,0,0,0,0,0
0.060422,0.000488,0.059934,0,0,0,0,0,0,0,0
0.06089,0.000488,0.060402,0,0,0,0,0,0,0,0
0.06089,0.000488,0.060402,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.000997,0.000997,0.0,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060422,0.000488,0.059934,0,0,0,0,0,0,0,0
0.06089,0.000488,0.060402,0,0,0,0,0,0,0,0
0.06089,0.000488,0.060402,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.06089,0.000488,0.060402,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.062454,0.000533,0.061921,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060472,0.000495,0.059977,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.060727,0.000997,0.05973,0,0,0,0,0,0,0,0
0.000487,0.000487,0.0,0,0,0,0,0,0,0,0
0.059994,0.000487,0.059507,0,0,0,0,0,0,0,0
0.059994,0.000487,0.059507,0,0,0,0,0,0,0,0
0.059994,0.000487,0.059507,0,0,0,0,0,0,0,0
0.059994,0.000487,0.059507,0,0,0,0,0,0,0,0
0.059994,0.000487,0.059507,0,0,0,0,0,0,0,0
0.059994,0.000487,0.059507,0,0,0,0,0,0,0,0
0.059994,0.000487,0.059507,0,0,0,0,0,0,0,0
0.059994,0.000487,0.059507,0,0,0,0,0,0,0,0
0.059994,0.000487,0.059507,0,0,0,0,0,0,0,0
