application,level,window,capture,total,reserved_rows,train_raw,train_purged_tuple_rows,train_eligible_rows,train_common_endpoints,validation_raw,validation_purged_tuple_rows,validation_eligible_rows,validation_common_endpoints,train_validation_shared_tuples
Video,Medium,10,Video_Medium,5327,1066,3196,203,2993,2383,1065,30,1035,915,0
Video,Medium,20,Video_Medium,5327,1066,3196,203,2993,1928,1065,30,1035,795,0
Video,Medium,50,Video_Medium,5327,1066,3196,203,2993,1147,1065,30,1035,515,0
Video,Medium,100,Video_Medium,5327,1066,3196,203,2993,615,1065,30,1035,343,0
Video,High,1,Video_High,5531,1107,3318,161,3157,3157,1106,14,1092,1092,0
Video,High,3,Video_High,5531,1107,3318,161,3157,2995,1106,14,1092,1075,0
Video,High,5,Video_High,5531,1107,3318,161,3157,2885,1106,14,1092,1063,0
Video,High,10,Video_High,5531,1107,3318,161,3157,2623,1106,14,1092,1033,0
Video,High,20,Video_High,5531,1107,3318,161,3157,2158,1106,14,1092,973,0
Video,High,50,Video_High,5531,1107,3318,161,3157,1156,1106,14,1092,806,0
Video,High,100,Video_High,5531,1107,3318,161,3157,374,1106,14,1092,567,0
