application,window,seed,partition,n,silhouette_n,ari,ami,mapped_balanced_accuracy,silhouette,occupied_clusters,recall_low,recall_medium,recall_high
HTTP,100,123,validation,7599,1000,0.5526345146110045,0.5113956798126005,0.6949451934835124,0.4354337161227461,3,1.0,0.28660826032540676,0.7982273201251303
SFTP,1,0,train,11648,1000,0.2076925749570507,0.19810680616073126,0.4960420040520736,0.4511654028957328,3,0.8043859649122806,0.13317824949113113,0.550561797752809
SFTP,1,0,validation,3686,1000,0.1931230226696743,0.20435846633247504,0.3944819126942137,0.36884660517764234,3,0.6568088033012379,0.11655874190564293,0.4100781928757602
SFTP,1,21,train,11648,1000,0.24235687334500877,0.2209213840858789,0.5542187069282568,0.47643784992299537,3,0.8675438596491228,0.11602209944751381,0.6790901616881337
SFTP,1,21,validation,3686,1000,0.22600084238688872,0.2333168935945322,0.44348291530808887,0.43391665318358813,3,0.7771664374140302,0.08325624421831637,0.47002606429192006
SFTP,1,42,train,11648,1000,0.23180053899918865,0.21528569991572058,0.535583874679555,0.4641289660269416,3,0.8462719298245615,0.1285257342250654,0.6319539599890381
SFTP,1,42,validation,3686,1000,0.20743304204428492,0.22069732864110095,0.4282546595383557,0.419540981295978,3,0.7145804676753783,0.08973172987974098,0.48045178105994785
SFTP,1,84,train,11648,1000,0.25482274690078127,0.230164585194775,0.5673785464996391,0.4866671775418561,3,0.8868421052631579,0.10002907822041292,0.7152644560153467
SFTP,1,84,validation,3686,1000,0.22182863783616294,0.23126237231131178,0.44553164985749244,0.44973909470554774,3,0.7840440165061898,0.07123034227567067,0.48132059079061684
SFTP,1,123,train,11648,1000,0.22068496102815713,0.20889166947891896,0.5096963883072315,0.4582230305791822,3,0.8285087719298245,0.13056120965396917,0.5700191833379008
SFTP,1,123,validation,3686,1000,0.19430987032671593,0.20670858276494586,0.406728414592968,0.39793381115473375,3,0.6760660247592847,0.08973172987974098,0.45438748913987836
SFTP,3,0,train,11648,1000,0.27082262283427816,0.24992648303441767,0.5670155453241232,0.38975142281207664,3,0.881140350877193,0.10875254434428613,0.7111537407508907
SFTP,3,0,validation,3686,1000,0.23289645010850313,0.24803028288437964,0.4493369092772867,0.3759698438283241,3,0.7716643741403026,0.07678075855689177,0.49956559513466553
SFTP,3,21,train,11648,1000,0.24409120016489047,0.23139961240097393,0.5209705457708641,0.3552247477538742,3,0.8467105263157895,0.13056120965396917,0.5856399013428336
SFTP,3,21,validation,3686,1000,0.22307278188724458,0.2313363042566704,0.41420991229792054,0.3066359762529906,3,0.7138927097661623,0.10823311748381129,0.42050390964378803
SFTP,3,42,train,11648,1000,0.2518014151569953,0.2410485279621772,0.5458217701342991,0.4079271395108293,3,0.9260964912280701,0.09421343413783076,0.6171553850369964
SFTP,3,42,validation,3686,1000,0.24561042702818595,0.23972670732099283,0.4677224101841255,0.40534715713165875,3,0.8418156808803301,0.0730804810360777,0.4882710686359687
SFTP,3,84,train,11648,1000,0.24976841505873768,0.23708397153748723,0.5529114616886766,0.4621601485527773,3,0.9274122807017544,0.06949694678685664,0.6618251575774184
SFTP,3,84,validation,3686,1000,0.2736636787090317,0.25366485951484097,0.5435971276662647,0.4721373755056378,3,0.8493810178817056,0.06290471785383904,0.7185056472632494
SFTP,3,123,train,11648,1000,0.2328171637303815,0.2205788733067768,0.5367012958999656,0.4586880063412832,3,0.9072368421052631,0.09886594940389648,0.6040010961907372
SFTP,3,123,validation,3686,1000,0.2661175099136892,0.24331489997291464,0.5415576612004114,0.45310947985027805,3,0.8308115543328748,0.09620721554116558,0.6976542137271937
SFTP,5,0,train,11648,1000,0.27760603563347064,0.26710961183009324,0.5474753886125169,0.37696720365929237,3,0.8910087719298245,0.10439081128234952,0.6470265826253768
SFTP,5,0,validation,3686,1000,0.25270344955590524,0.26220799925000127,0.4544821691146927,0.37548318673419667,3,0.782668500687758,0.09250693802035152,0.4882710686359687
SFTP,5,21,train,11648,1000,0.28980056353057254,0.2729396705121677,0.5718645146667397,0.37624759545787445,3,0.8866228070175438,0.11863913928467577,0.7103315976979995
SFTP,5,21,validation,3686,1000,0.2453093530573462,0.26154726079980545,0.4401983655323684,0.3633043703174143,3,0.7675378266850069,0.07955596669750231,0.473501303214596
SFTP,5,42,train,11648,1000,0.2725915469295124,0.26421101112413686,0.5331606187005213,0.37975409690673145,3,0.8925438596491229,0.10293690026170399,0.6040010961907372
SFTP,5,42,validation,3686,1000,0.25557637049752885,0.2580852108877989,0.44216722866231467,0.369085564743158,3,0.7874828060522696,0.09158186864014801,0.4474370112945265
SFTP,5,84,train,11648,1000,0.2630214269578256,0.2547712479332836,0.5252366033107485,0.3586294938208077,3,0.8508771929824561,0.11863913928467577,0.6061934776651138
SFTP,5,84,validation,3686,1000,0.243665793681695,0.2581822374261141,0.41157785119189744,0.3166819825975266,3,0.7283356258596974,0.09805735430157261,0.40834057341442226
SFTP,5,123,train,11648,1000,0.26267983104773973,0.2519429347112225,0.5332299928035367,0.3515536361149983,3,0.8508771929824561,0.13056120965396917,0.6182515757741847
SFTP,5,123,validation,3686,1000,0.23871198189106405,0.2541892603306779,0.4183674858425772,0.3122271996685535,3,0.7242090784044016,0.10083256244218317,0.4300608166811468
SFTP,10,0,train,11648,1000,0.28361301239754183,0.28409796684898464,0.5256611130329246,0.3632674534515011,3,0.8537280701754386,0.11980226810119221,0.603453000822143
SFTP,10,0,validation,3686,1000,0.2772398977380114,0.2946385274716563,0.3868328154407253,0.3243019756825203,3,0.7324621733149931,0.09528214616096208,0.3327541268462207
