TcpRtt,class,label
0.062893,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.062151,HTTP,7
0.062151,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062133,HTTP,7
0.062133,HTTP,7
0.062133,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.062151,HTTP,7
0.062893,HTTP,7
0.062151,HTTP,7
0.062893,HTTP,7
0.062151,HTTP,7
0.062893,HTTP,7
0.062151,HTTP,7
0.062151,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.062151,HTTP,7
0.062893,HTTP,7
0.062151,HTTP,7
0.062893,HTTP,7
0.062151,HTTP,7
0.062151,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.062893,HTTP,7
0.000977,HTTP,7
0.050293,HTTP,7
0.050293,HTTP,7
0.050293,HTTP,7
0.050293,HTTP,7
0.050293,HTTP,7
0.050293,HTTP,7
0.050293,HTTP,7
0.050293,HTTP,7
0.050293,HTTP,7
0.050293,HTTP,7
0.050293,HTTP,7
0.000497,HTTP,7
0.000497,HTTP,7
0.000497,HTTP,7
0.0,HTTP,7
0.000497,HTTP,7
0.059734,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.059729,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.059729,HTTP,7
0.000497,HTTP,7
0.060226,HTTP,7
0.059734,HTTP,7
0.059734,HTTP,7
0.060226,HTTP,7
0.059729,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060294,HTTP,7
0.059734,HTTP,7
0.060294,HTTP,7
0.059734,HTTP,7
0.059734,HTTP,7
0.059734,HTTP,7
0.060294,HTTP,7
0.060294,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.059729,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.059729,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.059734,HTTP,7
0.059734,HTTP,7
0.059734,HTTP,7
0.059734,HTTP,7
0.059734,HTTP,7
0.059734,HTTP,7
0.060294,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060294,HTTP,7
0.060226,HTTP,7
0.060294,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
