pRetran,sMeanPktSz,SrcRetra,PCRatio,SrcWin,SrcLoss,DstRate,SrcLoad,Load,DstLoad,TcpRtt,Sum,AckDat,dTtl,Min,Max,pLoss,DstLoss,Loss,StdDev,Rate,SrcRate,IdleTime,Dur,SrcPkts,SrcGap,DstBytes,DstGap,sTtl,DstWin,TotPkts,DstPkts,Mean,SrcBytes,TotBytes,dMeanPktSz,DstRetra,SynAck,label
0.0,105.333336,0.0,-0.0,64128.0,0.0,64.507812,48337.851562,483550.53125,435212.6875,0.061818,0.139518,0.060876,64.0,0.139518,0.139518,0.0,0.0,0.0,0.0,129.015625,57.340275,1721542656.0,0.139518,9.0,0.0,8433.0,0.0,62.0,31872.0,19.0,10.0,0.139518,948.0,9381.0,843.299988,0.0,0.000942,HTTP
0.0,100.0,0.0,-0.0,63488.0,0.0,83.654007,46331.449219,755562.9375,709231.5,0.061372,0.155402,0.060876,64.0,0.155402,0.155402,0.0,0.0,0.0,0.0,148.003235,57.91431,1721542656.0,0.155402,10.0,0.0,14836.0,0.0,62.0,31872.0,24.0,14.0,0.155402,1000.0,15836.0,1059.714233,0.0,0.000496,HTTP
0.0,114.428574,0.0,-0.0,64128.0,0.0,35.396141,32422.865234,190431.234375,158008.375,0.061372,0.16951,0.060876,64.0,0.16951,0.16951,0.0,0.0,0.0,0.0,76.691635,35.396141,1721542656.0,0.16951,7.0,0.0,3905.0,0.0,62.0,31872.0,14.0,7.0,0.16951,801.0,4706.0,557.857117,0.0,0.000496,HTTP
0.0,122.666664,0.0,-0.0,64128.0,0.0,25.868538,31766.564453,87228.710938,55462.144531,0.061372,0.154628,0.060876,64.0,0.154628,0.154628,0.0,0.0,0.0,0.0,64.671341,32.33567,1721542656.0,0.154628,6.0,0.0,1339.0,0.0,62.0,31872.0,11.0,5.0,0.154628,736.0,2075.0,267.799988,0.0,0.000496,HTTP
0.0,97.090912,0.0,-0.0,58752.0,0.0,64.349236,49986.484375,560662.0,510675.53125,0.061868,0.155402,0.060873,64.0,0.155402,0.155402,0.0,0.0,0.0,0.0,135.133392,64.349236,1721542656.0,0.155402,11.0,0.0,10912.0,0.0,62.0,31872.0,22.0,11.0,0.155402,1068.0,11980.0,992.0,0.0,0.000995,HTTP
0.0,73.304344,0.0,-0.0,168064.0,0.0,241.894714,95284.851562,2863802.25,2768517.5,0.060642,0.27698,0.060642,64.0,0.27698,0.27698,0.0,0.0,0.0,0.0,407.97168,162.466599,1721542656.0,0.27698,46.0,0.0,97283.0,0.0,62.0,31872.0,114.0,68.0,0.27698,3372.0,100655.0,1430.632324,0.0,0.0,HTTP
0.0,94.75,0.0,-0.0,64128.0,0.0,88.163635,66876.125,738009.75,671133.625,0.061547,0.124768,0.06105,64.0,0.124768,0.124768,0.0,0.0,0.0,0.0,184.342148,88.163635,1721542656.0,0.124768,12.0,0.0,11418.0,0.0,62.0,31872.0,24.0,12.0,0.124768,1137.0,12555.0,951.5,0.0,0.000497,HTTP
0.0,76.6875,0.0,-0.0,116864.0,0.0,193.957642,72350.0,2245405.75,2173055.75,0.061547,0.262944,0.06105,64.0,0.262944,0.262944,0.0,0.0,0.0,0.0,315.656555,117.895821,1721542656.0,0.262944,32.0,0.0,72824.0,0.0,62.0,31872.0,84.0,52.0,0.262944,2454.0,75278.0,1400.461548,0.0,0.000497,HTTP
0.0,64.0,0.0,-0.0,8222720.0,0.0,0.0,8386.568359,8386.568359,0.0,0.000502,0.06105,0.0,64.0,0.06105,0.06105,0.0,0.0,0.0,0.0,32.760033,16.380016,1721542656.0,0.06105,2.0,0.0,74.0,0.0,62.0,4077568.0,3.0,1.0,0.06105,128.0,202.0,74.0,0.0,0.000502,HTTP
0.0,126.833336,0.0,-0.0,62592.0,0.0,48.359406,40944.296875,252951.9375,212007.640625,0.060949,0.124071,0.060452,64.0,0.124071,0.124071,0.0,0.0,0.0,0.0,96.718811,40.299507,1721542656.0,0.124071,6.0,0.0,3835.0,0.0,62.0,31872.0,13.0,7.0,0.124071,761.0,4596.0,547.857117,0.0,0.000497,HTTP
0.0,64.0,0.0,-0.0,8222720.0,0.0,0.0,8332.519531,8332.519531,0.0,0.000497,0.061446,0.0,64.0,0.061446,0.061446,0.0,0.0,0.0,0.0,32.548904,16.274452,1721542656.0,0.061446,2.0,0.0,74.0,0.0,62.0,4077568.0,3.0,1.0,0.061446,128.0,202.0,74.0,0.0,0.000497,HTTP
0.0,127.333336,0.0,-0.0,64128.0,0.0,40.299507,41073.253906,157909.578125,116836.328125,0.061446,0.124071,0.060949,64.0,0.124071,0.124071,0.0,0.0,0.0,0.0,88.658913,40.299507,1721542656.0,0.124071,6.0,0.0,2174.0,0.0,62.0,31872.0,12.0,6.0,0.124071,764.0,2938.0,362.333344,0.0,0.000497,HTTP
0.0,78.647057,0.0,-0.0,121216.0,0.0,186.430161,79015.953125,2138635.5,2059619.625,0.061622,0.262833,0.060822,64.0,0.262833,0.262833,0.0,0.0,0.0,0.0,315.789886,125.555008,1721542656.0,0.262833,34.0,0.0,69047.0,0.0,62.0,31872.0,84.0,50.0,0.262833,2674.0,71721.0,1380.939941,0.0,0.0008,HTTP
0.0,77.648651,0.0,-0.0,113408.0,0.0,173.649536,76160.640625,2009268.125,1933107.5,0.061615,0.293695,0.061116,64.0,0.293695,0.293695,0.0,0.0,0.0,0.0,299.630554,122.576141,1721542656.0,0.293695,37.0,0.0,72359.0,0.0,62.0,31872.0,89.0,52.0,0.293695,2873.0,75232.0,1391.519287,0.0,0.000499,HTTP
