State__FA,State__A,pRetran,Max,sMeanPktSz,SrcRetra,PCRatio,State_PA_,State_PA_A,SrcWin,SrcLoss,DstRate,SrcLoad,TcpOpt_MwsS  T,Load,DstLoad,TcpRtt,Flgs_ e g      ,State_A_PA,Flgs_ e d      ,Sum,AckDat,dTtl,State__PA,Min,pLoss,DstLoss,State_S_,Cause_Status,State_FA_,Loss,StdDev,Rate,SrcRate,IdleTime,Dur,SrcPkts,Flgs_ e s      ,SrcGap,DstBytes,DstGap,sTtl,DstWin,TotPkts,State_S_SA,DstPkts,Flgs_ e *      ,Mean,SrcBytes,State__SA,TotBytes,Cause_Start,dMeanPktSz,State_A_A,DstRetra,SynAck,label
0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,0.0,0.0,1.0,0.0,0.0,0.301207,1.0,0.0,0.0,0.0,0.260263,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1721543936.0,0.0,0.0,0.0,0.0,1514.0,2895.0,62.0,739954.953834936,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1514.0,0.0,1514.0,0.0,0.0,0.040944,HTTP
0.0,0.0,0.0,0.0,66.0,0.0,-0.0,0.0,0.0,223488.0,0.0,0.0,0.0,0.0,0.0,0.0,1.150407,0.0,0.0,0.0,0.0,0.112833,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1721543936.0,0.0,6.0,0.0,0.0,0.0,0.0,62.0,739954.953834936,6.0,0.0,0.0,0.0,0.0,396.0,0.0,396.0,0.0,0.0,0.0,0.0,1.037574,HTTP
0.0,0.0,0.0,0.000584,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,5136.986328,0.0,0.0,62219176.0,62219176.0,1.150407,0.0,0.0,0.0,0.000584,0.112833,64.0,1.0,0.000584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5136.986328,0.0,1721543936.0,0.000584,0.0,0.0,0.0,6056.0,0.0,62.0,739954.953834936,4.0,0.0,4.0,0.0,0.000584,0.0,0.0,6056.0,0.0,1514.0,0.0,0.0,1.037574,HTTP
0.0,0.0,0.0,0.000514,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,21400.777344,0.0,0.0,259206224.0,259206224.0,1.150407,0.0,0.0,0.0,0.000514,0.112833,64.0,1.0,0.000514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21400.777344,0.0,1721543936.0,0.000514,0.0,0.0,0.0,18168.0,0.0,62.0,739954.953834936,12.0,0.0,12.0,0.0,0.000514,0.0,0.0,18168.0,0.0,1514.0,0.0,0.0,1.037574,HTTP
0.0,0.0,0.0,0.000538,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,11152.416016,0.0,0.0,135078064.0,135078064.0,1.150407,0.0,0.0,0.0,0.000538,0.112833,64.0,1.0,0.000538,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11152.416016,0.0,1721543936.0,0.000538,0.0,0.0,0.0,10598.0,0.0,62.0,739954.953834936,7.0,0.0,7.0,0.0,0.000538,0.0,0.0,10598.0,0.0,1514.0,0.0,0.0,1.037574,HTTP
0.0,0.0,0.0,0.00099,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,8080.808105,0.0,0.0,97874752.0,97874752.0,1.150407,0.0,0.0,0.0,0.00099,0.112833,64.0,1.0,0.00099,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8080.808105,0.0,1721543936.0,0.00099,0.0,0.0,0.0,13626.0,0.0,62.0,739954.953834936,9.0,0.0,9.0,0.0,0.00099,0.0,0.0,13626.0,0.0,1514.0,0.0,0.0,1.037574,HTTP
0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,0.0,0.0,0.0,0.0,0.0,1.150407,0.0,0.0,0.0,0.0,0.112833,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1721543936.0,0.0,0.0,0.0,0.0,1514.0,0.0,62.0,739954.953834936,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1514.0,0.0,1514.0,0.0,0.0,1.037574,HTTP
0.0,0.0,0.0,0.000498,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,14056.224609,0.0,0.0,170248992.0,170248992.0,1.150407,0.0,0.0,0.0,0.000498,0.112833,64.0,1.0,0.000498,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14056.224609,0.0,1721543936.0,0.000498,0.0,0.0,0.0,12112.0,0.0,62.0,739954.953834936,8.0,0.0,8.0,0.0,0.000498,0.0,0.0,12112.0,0.0,1514.0,0.0,0.0,1.037574,HTTP
0.0,0.0,0.0,0.000993,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,8056.39502,0.0,0.0,97579056.0,97579056.0,1.150407,0.0,0.0,0.0,0.000993,0.112833,64.0,1.0,0.000993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8056.39502,0.0,1721543936.0,0.000993,0.0,0.0,0.0,13626.0,0.0,62.0,739954.953834936,9.0,0.0,9.0,0.0,0.000993,0.0,0.0,13626.0,0.0,1514.0,0.0,0.0,1.037574,HTTP
0.0,0.0,0.0,0.000995,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,11055.276367,0.0,0.0,133901504.0,133901504.0,1.150407,0.0,0.0,0.0,0.000995,0.112833,64.0,1.0,0.000995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11055.276367,0.0,1721543936.0,0.000995,0.0,0.0,0.0,18168.0,0.0,62.0,739954.953834936,12.0,0.0,12.0,0.0,0.000995,0.0,0.0,18168.0,0.0,1514.0,0.0,0.0,1.037574,HTTP
